NPRODUCTO,CONCURSO,R4,BOLSA,FECHA
40,2724,33,141500000,41651
40,2723,23,137000000,41647
40,2722,48,131000000,41644
40,2721,25,128000000,41640
40,2720,41,121500000,41637
40,2719,35,117000000,41633
40,2718,32,113000000,41630
40,2717,44,108500000,41626
40,2716,46,103000000,41623
40,2715,20,99000000,41619
40,2714,28,95000000,41616
40,2713,25,90000000,41612
40,2712,35,85500000,41609
40,2711,37,82000000,41605
40,2710,42,77000000,41602
40,2709,30,72000000,41598
40,2708,43,68000000,41595
40,2707,30,64000000,41591
40,2706,25,60000000,41588
40,2705,34,56000000,41584
40,2704,39,51000000,41581
40,2703,20,47000000,41577
40,2702,37,43000000,41574
40,2701,26,40000000,41570
40,2700,28,37000000,41567
40,2699,27,36000000,41563
40,2698,30,35000000,41560
40,2697,33,34000000,41556
40,2696,52,33000000,41553
40,2695,16,32000000,41549
40,2694,45,31000000,41546
40,2693,29,30000000,41542
40,2692,44,65000000,41539
40,2691,17,62000000,41535
40,2690,23,57000000,41532
40,2689,32,54000000,41528
40,2688,31,49000000,41525
40,2687,24,45000000,41521
40,2686,31,40000000,41518
40,2685,39,37000000,41514
40,2684,30,36000000,41511
40,2683,22,35000000,41507
40,2682,17,34000000,41504
40,2681,20,33000000,41500
40,2680,25,32000000,41497
40,2679,26,31000000,41493
40,2678,28,30000000,41490
40,2677,27,639500000,41486
40,2676,40,632500000,41483
40,2675,35,627000000,41479
40,2674,43,619000000,41476
40,2673,44,612500000,41472
40,2672,31,605500000,41469
40,2671,44,598500000,41465
40,2670,44,591000000,41462
40,2669,36,584000000,41458
40,2668,35,576000000,41455
40,2667,34,569000000,41451
40,2666,35,559000000,41448
40,2665,27,551000000,41444
40,2664,32,542000000,41441
40,2663,28,535500000,41437
40,2662,33,526000000,41434
40,2661,41,518000000,41430
40,2660,24,510500000,41427
40,2659,46,502000000,41423
40,2658,28,494500000,41420
40,2657,33,488000000,41416
40,2656,43,480000000,41413
40,2655,34,472000000,41409
40,2654,46,464000000,41406
40,2653,27,456000000,41402
40,2652,39,447000000,41399
40,2651,25,442000000,41395
40,2650,38,434000000,41392
40,2649,36,427000000,41388
40,2648,17,420000000,41385
40,2647,38,412500000,41381
40,2646,33,405000000,41378
40,2645,44,398000000,41374
40,2644,22,391000000,41371
40,2643,18,386000000,41367
40,2642,26,379000000,41364
40,2641,21,374000000,41360
40,2640,34,368000000,41357
40,2639,23,362500000,41353
40,2638,47,354500000,41350
40,2637,29,349000000,41346
40,2636,19,343000000,41343
40,2635,16,338000000,41339
40,2634,38,330000000,41336
40,2633,43,324000000,41332
40,2632,24,318000000,41329
40,2631,31,312500000,41325
40,2630,35,306500000,41322
40,2629,20,301000000,41318
40,2628,32,295000000,41315
40,2627,46,289000000,41311
40,2626,24,283500000,41308
40,2625,15,278500000,41304
40,2624,36,273000000,41301
40,2623,30,267500000,41297
40,2622,22,261500000,41294
40,2621,43,255500000,41290
40,2620,43,249500000,41287
40,2619,36,244000000,41283
40,2618,33,238000000,41280
40,2617,41,233000000,41276
40,2616,25,227000000,41273
40,2615,53,223000000,41269
40,2614,47,216000000,41266
40,2613,23,212000000,41262
40,2612,46,206000000,41259
40,2611,48,201000000,41255
40,2610,38,195500000,41252
40,2609,22,191000000,41248
40,2608,41,185000000,41245
40,2607,31,181000000,41241
40,2606,41,177000000,41238
40,2605,40,173000000,41234
40,2604,35,168000000,41231
40,2603,36,163000000,41227
40,2602,20,158000000,41224
40,2601,42,154000000,41220
40,2600,29,149000000,41217
40,2599,49,145000000,41213
40,2598,50,140000000,41210
40,2597,48,136000000,41206
40,2596,20,130000000,41203
40,2595,19,126000000,41199
40,2594,32,122000000,41196
40,2593,25,119000000,41192
40,2592,29,114500000,41189
40,2591,23,110000000,41185
40,2590,34,105000000,41182
40,2589,24,102500000,41178
40,2588,25,99000000,41175
40,2587,18,95000000,41171
40,2586,28,91500000,41168
40,2585,21,88000000,41164
40,2584,33,84000000,41161
40,2583,32,80000000,41157
40,2582,31,75000000,41154
40,2581,33,72000000,41150
40,2580,45,67000000,41147
40,2579,32,63000000,41143
40,2578,35,59000000,41140
40,2577,27,55000000,41136
40,2576,27,51000000,41133
40,2575,30,48000000,41129
40,2574,35,44000000,41126
40,2573,50,39000000,41122
40,2572,21,38000000,41119
40,2571,46,37000000,41115
40,2570,41,36000000,41112
40,2569,32,35000000,41108
40,2568,46,34000000,41105
40,2567,20,33000000,41101
40,2566,23,32000000,41098
40,2565,37,31000000,41094
40,2564,46,30000000,41091
40,2563,47,182000000,41087
40,2562,26,177000000,41084
40,2561,46,172000000,41080
40,2560,25,167000000,41077
40,2559,38,162000000,41073
40,2558,40,156000000,41070
40,2557,22,152000000,41066
40,2556,35,147000000,41063
40,2555,43,141000000,41059
40,2554,43,136000000,41056
40,2553,33,131000000,41052
40,2552,42,125000000,41049
40,2551,10,121000000,41045
40,2550,30,116000000,41042
40,2549,31,111000000,41038
40,2548,23,106000000,41035
40,2547,26,102000000,41031
40,2546,42,97000000,41028
40,2545,22,94000000,41024
40,2544,19,89000000,41021
40,2543,45,84000000,41017
40,2542,46,77000000,41014
40,2541,35,72000000,41010
40,2540,42,67000000,41007
40,2539,26,62000000,41003
40,2538,23,59000000,41000
40,2537,22,55000000,40996
40,2536,27,50000000,40993
40,2535,34,46000000,40989
40,2534,21,41000000,40986
40,2533,36,37000000,40982
40,2532,45,36000000,40979
40,2531,32,35000000,40975
40,2530,32,34000000,40972
40,2529,27,33000000,40968
40,2528,18,32000000,40965
40,2527,34,31000000,40961
40,2526,37,30000000,40958
40,2525,39,37000000,40954
40,2524,35,36000000,40951
40,2523,33,35000000,40947
40,2522,41,34000000,40944
40,2521,31,33000000,40940
40,2520,25,32000000,40937
40,2519,26,31000000,40933
40,2518,24,30000000,40930
40,2517,32,112000000,40926
40,2516,33,106000000,40923
40,2515,24,101000000,40919
40,2514,42,95000000,40916
40,2513,41,90000000,40912
40,2512,46,84000000,40909
40,2511,19,79000000,40905
40,2510,39,75000000,40902
40,2509,26,70000000,40898
40,2508,39,64000000,40895
40,2507,40,59000000,40891
40,2506,13,55000000,40888
40,2505,53,50000000,40884
40,2504,25,45000000,40881
40,2503,41,40000000,40877
40,2502,39,36000000,40874
40,2501,34,35000000,40870
40,2500,20,34000000,40867
40,2499,50,33000000,40863
40,2498,16,32000000,40860
40,2497,49,31000000,40856
40,2496,22,30000000,40853
40,2495,26,282000000,40849
40,2494,24,276000000,40846
40,2493,15,270000000,40842
40,2492,31,263000000,40839
40,2491,50,257000000,40835
40,2490,19,252000000,40832
40,2489,25,247000000,40828
40,2488,19,241000000,40825
40,2487,21,236000000,40821
40,2486,28,229000000,40818
40,2485,40,223000000,40814
40,2484,14,218000000,40811
40,2483,46,212000000,40807
40,2482,33,207000000,40804
40,2481,34,202000000,40800
40,2480,47,196000000,40797
40,2479,43,190000000,40793
40,2478,33,184000000,40790
40,2477,44,179000000,40786
40,2476,47,172000000,40783
40,2475,37,167000000,40779
40,2474,40,161000000,40776
40,2473,14,157000000,40772
40,2472,50,150000000,40769
40,2471,23,145000000,40765
40,2470,50,139000000,40762
40,2469,36,134000000,40758
40,2468,38,128000000,40755
40,2467,44,123000000,40751
40,2466,29,118000000,40748
40,2465,24,114000000,40744
40,2464,29,108000000,40741
40,2463,45,103000000,40737
40,2462,27,98000000,40734
